epoch,cooling_loan_loss,cooling_loan_root_mean_squared_error,heating_loan_loss,heating_loan_root_mean_squared_error,loss,val_cooling_loan_loss,val_cooling_loan_root_mean_squared_error,val_heating_loan_loss,val_heating_loan_root_mean_squared_error,val_loss
0,670.8609619140625,25.900983810424805,588.7562255859375,24.264299392700195,1259.6173095703125,680.8026733398438,26.092195510864258,599.36474609375,24.4819278717041,1280.16748046875
1,656.090087890625,25.614255905151367,577.519287109375,24.031631469726562,1233.6092529296875,665.394775390625,25.79524803161621,587.5,24.238399505615234,1252.894775390625
2,639.3541870117188,25.28545379638672,564.5315551757812,23.759872436523438,1203.8858642578125,646.3200073242188,25.42282485961914,572.3070678710938,23.92293930053711,1218.6270751953125
3,619.039306640625,24.88050079345703,548.4459838867188,23.41892433166504,1167.4852294921875,623.257080078125,24.965116500854492,554.2055053710938,23.54157066345215,1177.4625244140625
4,593.5982055664062,24.36387062072754,528.6617431640625,22.992645263671875,1122.260009765625,594.5525512695312,24.383447647094727,531.7717895507812,23.060176849365234,1126.324462890625
5,562.76904296875,23.722753524780273,504.6241149902344,22.46384048461914,1067.393310546875,560.204833984375,23.66864585876465,504.4608154296875,22.460205078125,1064.66552734375
6,525.922607421875,22.933002471923828,475.5122375488281,21.806243896484375,1001.4348754882812,519.2142944335938,22.786273956298828,471.7651672363281,21.720155715942383,990.9795532226562
7,483.8629150390625,21.996883392333984,441.8178405761719,21.01946258544922,925.6808471679688,474.4754333496094,21.78245735168457,435.1435241699219,20.86009407043457,909.618896484375
8,437.3934631347656,20.91395378112793,403.423828125,20.085412979125977,840.8171997070312,424.6147766113281,20.606182098388672,393.26422119140625,19.830890655517578,817.8790283203125
9,386.56829833984375,19.661340713500977,360.58270263671875,18.989015579223633,747.1510009765625,370.3417053222656,19.244264602661133,346.68939208984375,18.619596481323242,717.0311279296875
10,331.6473083496094,18.211185455322266,313.5860290527344,17.70836067199707,645.2333984375,312.0961608886719,17.666242599487305,295.9750671386719,17.20392608642578,608.0712280273438
11,274.33740234375,16.563133239746094,264.0658264160156,16.250102996826172,538.4032592773438,252.310302734375,15.884278297424316,243.2416534423828,15.596206665039062,495.5519714355469
12,217.6444854736328,14.752779006958008,214.1234893798828,14.632959365844727,431.7679748535156,198.385986328125,14.084956169128418,194.76950073242188,13.955984115600586,393.1554870605469
13,167.12176513671875,12.927557945251465,168.96685791015625,12.998724937438965,336.08868408203125,148.67086791992188,12.193066596984863,148.51502990722656,12.186674118041992,297.1859130859375
14,125.12384796142578,11.185876846313477,129.74606323242188,11.390612602233887,254.8699188232422,112.17140197753906,10.591099739074707,112.81753540039062,10.621560096740723,224.9889373779297
15,97.07981872558594,9.852909088134766,102.18351745605469,10.108586311340332,199.26333618164062,91.65731811523438,9.573782920837402,91.11971282958984,9.54566478729248,182.7770233154297
16,82.39958190917969,9.077421188354492,86.08989715576172,9.278464317321777,168.48948669433594,79.01148223876953,8.888840675354004,75.82532501220703,8.70777416229248,154.83680725097656
17,75.18962860107422,8.671195030212402,77.1842041015625,8.785453796386719,152.3738555908203,73.52366638183594,8.574594497680664,69.38737487792969,8.32990837097168,142.91104125976562
18,71.25098419189453,8.44102954864502,72.67243957519531,8.524812698364258,143.92343139648438,68.88156127929688,8.299491882324219,64.38961791992188,8.024313926696777,133.27117919921875
19,67.66727447509766,8.226012229919434,68.799072265625,8.294520378112793,136.4663543701172,65.09107208251953,8.067903518676758,60.21662902832031,7.759937286376953,125.30769348144531
20,64.37513732910156,8.023411750793457,65.218017578125,8.075767517089844,129.5931396484375,61.3535270690918,7.832849025726318,56.187095642089844,7.495805263519287,117.54061889648438
21,61.67021560668945,7.853038787841797,62.03190994262695,7.876033782958984,123.70213317871094,58.00558090209961,7.6161394119262695,52.5614013671875,7.249924182891846,110.56697845458984
22,58.962913513183594,7.678731441497803,59.06685256958008,7.6854963302612305,118.02976989746094,55.32124328613281,7.4378252029418945,49.876197814941406,7.062308311462402,105.19744110107422
23,56.89093017578125,7.54260778427124,56.70136642456055,7.530031204223633,113.59230041503906,53.012672424316406,7.280980110168457,47.38920593261719,6.883981704711914,100.4018783569336
24,54.760921478271484,7.400062084197998,54.38482666015625,7.374607086181641,109.14575958251953,50.916664123535156,7.135591506958008,45.14537048339844,6.719030380249023,96.06202697753906
25,52.870758056640625,7.271228313446045,52.20393753051758,7.225229263305664,105.07470703125,48.68880844116211,6.977736473083496,42.702640533447266,6.534725666046143,91.39144897460938
26,51.03817367553711,7.144100666046143,50.043582916259766,7.074149131774902,101.0817642211914,46.8686637878418,6.8460693359375,40.625152587890625,6.373786449432373,87.49381256103516
27,49.613197326660156,7.043663501739502,48.319618225097656,6.951231479644775,97.93281555175781,45.92011642456055,6.776438236236572,39.858192443847656,6.3133344650268555,85.7782974243164
28,48.26590347290039,6.947366714477539,46.92917251586914,6.850487232208252,95.19507598876953,44.59952163696289,6.678287506103516,38.5814094543457,6.211393356323242,83.18092346191406
29,46.52348709106445,6.820812702178955,45.13383865356445,6.718172073364258,91.65731048583984,43.00218963623047,6.557605266571045,36.3464241027832,6.028799533843994,79.3486099243164
30,45.58804702758789,6.75189208984375,43.803707122802734,6.618436813354492,89.39175415039062,41.48427963256836,6.440829277038574,35.13603210449219,5.927565574645996,76.62030792236328
31,44.310794830322266,6.656635284423828,42.392757415771484,6.510972023010254,86.70353698730469,40.949180603027344,6.3991546630859375,34.80757141113281,5.899794101715088,75.75675964355469
